[2021-10-19 00:39:43,116] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 42}
[2021-10-19 00:40:04,020] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 77}
[2021-10-19 00:40:55,724] DEBUG  Recall: 0.02566225165562914,coverage: 0.04641122504047491,novelty: 0.6462905406951904,unexpectedness: 0.009437086092715232,relevance: 0.33120708355343403
[2021-10-19 00:40:55,724] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 77}
[2021-10-19 00:40:55,752] INFO  Grid search ended: AutoRec
[2021-10-19 00:40:55,753] INFO  Saved AutoRec as results\gs_unexp_fix3\AutoRec.joblib
[2021-10-19 00:41:01,253] INFO  Grid search started: KNNpopularity
[2021-10-19 00:41:01,600] DEBUG  Started KNNpopularity, {'k': 5}
[2021-10-19 00:44:10,965] DEBUG  Recall: 0.07533112582781457,coverage: 0.3073394495412844,novelty: 0.8066206574440002,unexpectedness: 0.2552980132450331,relevance: 0.29233816910500726
[2021-10-19 00:44:10,965] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-10-19 00:44:11,252] DEBUG  Started KNNpopularity, {'k': 10}
[2021-10-19 00:47:31,759] DEBUG  Recall: 0.08112582781456953,coverage: 0.2366432811656773,novelty: 0.7820445895195007,unexpectedness: 0.10951986754966889,relevance: 0.2932451787010204
[2021-10-19 00:47:31,759] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-10-19 00:47:32,055] DEBUG  Started KNNpopularity, {'k': 15}
[2021-10-19 00:50:53,741] DEBUG  Recall: 0.08609271523178808,coverage: 0.2050728548300054,novelty: 0.7544700503349304,unexpectedness: 0.04230132450331126,relevance: 0.2928664837924969
[2021-10-19 00:50:53,742] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-10-19 00:50:54,017] DEBUG  Started KNNpopularity, {'k': 20}
[2021-10-19 00:54:27,338] DEBUG  Recall: 0.0836092715231788,coverage: 0.1829465731246627,novelty: 0.7494011521339417,unexpectedness: 0.006622516556291391,relevance: 0.2915136240367329
[2021-10-19 00:54:27,339] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-10-19 00:54:27,622] DEBUG  Started KNNpopularity, {'k': 30}
